ïagno;rbd;dgv_rbd;nom_rbd;cod_reg_rbd;cod_pro_rbd;cod_com_rbd;nom_com_rbd;cod_depe;rural_rbd;pago_matricula;pago_mensual;ori_religiosa;ens_01;ens_02;ens_03;ens_04;ens_05;ens_06;ens_07;ens_08;ens_09
2013;1;9;LICEO POLITECNICO ARICA;15;151;15101;ARICA;2;0;Gratuito;Gratuito;2;463;510;563;610;663;863;0;0;0
2013;2;7;PARVULARIO LAS ESPIGUITAS;15;151;15101;ARICA;2;0;Gratuito;Gratuito;2;10;0;0;0;0;0;0;0;0
2013;3;5;ESC. PEDRO VICENTE GUTIERREZ TORRES;15;151;15101;ARICA;2;1;Gratuito;Gratuito;2;165;167;0;0;0;0;0;0;0
2013;4;3;LICEO OCTAVIO PALMA PEREZ;15;151;15101;ARICA;2;0;Gratuito;Gratuito;1;310;0;0;0;0;0;0;0;0
2013;5;1;JOVINA NARANJO FERNANDEZ;15;151;15101;ARICA;2;0;Gratuito;Gratuito;7;110;310;363;0;0;0;0;0;0
2013;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;2;0;Gratuito;Gratuito;1;410;510;610;0;0;0;0;0;0
2013;8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;15;151;15101;ARICA;2;0;Gratuito;Gratuito;2;10;110;310;0;0;0;0;0;0
2013;9;4;ESCUELA REPUBLICA DE ISRAEL;15;151;15101;ARICA;2;0;Gratuito;Gratuito;2;10;110;0;0;0;0;0;0;0
2013;10;8;ESCUELA REPUBLICA DE FRANCIA;15;151;15101;ARICA;2;0;Gratuito;Gratuito;2;10;110;310;0;0;0;0;0;0
2013;11;6;ESC. GRAL. PEDRO LAGOS MARCHANT;15;151;15101;ARICA;2;0;Gratuito;Gratuito;1;10;110;0;0;0;0;0;0;0
2013;12;4;ESCUELA GRAL JOSE MIGUEL CARRERA;15;151;15101;ARICA;2;0;Gratuito;Gratuito;1;10;110;0;0;0;0;0;0;0
2013;13;2;ESCUELA MANUEL RODRIGUEZ ERDOYZA;15;151;15101;ARICA;2;0;Gratuito;Gratuito;1;10;110;0;0;0;0;0;0;0
2013;14;0;ESCUELA ROMULO J. PENA MATURANA;15;151;15101;ARICA;2;0;Gratuito;Gratuito;1;10;110;0;0;0;0;0;0;0
2013;15;9;LICEO ARTISTICO DR. JUAN NOE CREVANI;15;151;15101;ARICA;2;0;Gratuito;Gratuito;2;10;110;310;0;0;0;0;0;0
2013;16;7;ESCUELA REGIMIENTO RANCAGUA;15;151;15101;ARICA;2;0;Gratuito;Gratuito;1;10;110;0;0;0;0;0;0;0
2013;17;5;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;15;151;15101;ARICA;2;0;Gratuito;Gratuito;2;10;110;0;0;0;0;0;0;0
2013;18;3;ESC. COMTE. JUAN JOSE SAN MARTIN;15;151;15101;ARICA;2;0;Gratuito;Gratuito;2;10;110;0;0;0;0;0;0;0
2013;19;1;ESC. HUMBERTO VALENZUELA GARCIA;15;151;15101;ARICA;2;0;Gratuito;Gratuito;2;10;110;0;0;0;0;0;0;0
2013;20;5;ESCUELA TUCAPEL;15;151;15101;ARICA;2;0;Gratuito;Gratuito;1;10;110;0;0;0;0;0;0;0
2013;21;3;ESCUELA CARLOS GUIRAO MASSIF;15;151;15101;ARICA;2;0;Gratuito;Gratuito;1;10;110;0;0;0;0;0;0;0
2013;22;1;ESCUELA GABRIELA MISTRAL;15;151;15101;ARICA;2;0;Gratuito;Gratuito;1;10;110;0;0;0;0;0;0;0
2013;25;6;ESCUELA CENTENARIO;15;151;15101;ARICA;2;0;Gratuito;Gratuito;2;10;110;0;0;0;0;0;0;0
2013;26;4;ESCUELA REPUBLICA DE ARGENTINA;15;151;15101;ARICA;2;0;Gratuito;Gratuito;2;10;110;0;0;0;0;0;0;0
2013;27;2;ESCUELA ESMERALDA;15;151;15101;ARICA;2;0;Gratuito;Gratuito;2;10;110;0;0;0;0;0;0;0
2013;28;0;ESCUELA RICARDO SILVA ARRIAGADA;15;151;15101;ARICA;2;0;Gratuito;Gratuito;2;10;110;165;363;0;0;0;0;0
2013;29;9;ESCUELA AMERICA;15;151;15101;ARICA;2;0;Gratuito;Gratuito;1;10;110;0;0;0;0;0;0;0
2013;30;2;ESCUELA DR. RICARDO OLEA GUERRA;15;151;15101;ARICA;2;0;Gratuito;Gratuito;2;212;215;216;0;0;0;0;0;0
2013;31;0;ESCUELA DARIO SALAS DIAZ;15;151;15101;ARICA;2;1;Gratuito;Gratuito;1;10;110;0;0;0;0;0;0;0
2013;32;9;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;15;151;15101;ARICA;2;1;Gratuito;Gratuito;1;10;110;710;0;0;0;0;0;0
2013;33;7;ESCUELA CARLOS CONDELL DE LA HAZA;15;151;15101;ARICA;2;1;Gratuito;Gratuito;2;10;110;0;0;0;0;0;0;0
2013;35;3;ESCUELA GRAL. MANUEL BAQUEDANO;15;151;15101;ARICA;2;1;Gratuito;Gratuito;2;10;110;0;0;0;0;0;0;0
2013;36;1;ESCUELA IGNACIO CARRERA PINTO;15;151;15101;ARICA;2;1;Gratuito;Gratuito;1;10;110;0;0;0;0;0;0;0
2013;38;8;ESCUELA ESPAÃA;15;151;15101;ARICA;2;1;Gratuito;Gratuito;2;10;110;0;0;0;0;0;0;0
2013;39;6;ESCUELA PAMPA ALGODONAL;15;151;15101;ARICA;2;1;Gratuito;Gratuito;2;110;0;0;0;0;0;0;0;0
2013;41;8;ESCUELA VALLE DE CHACA;15;151;15101;ARICA;2;1;Gratuito;Gratuito;2;110;0;0;0;0;0;0;0;0
2013;42;6;ESCUELA MOLINOS LLUTA;15;151;15101;ARICA;2;1;Gratuito;Gratuito;1;110;0;0;0;0;0;0;0;0
2013;43;4;JARDIN INFANTIL CEPILLIN;15;151;15101;ARICA;3;0;Gratuito;Gratuito;1;10;0;0;0;0;0;0;0;0
2013;45;0;COLEGIO ITALIANO SANTA ANA;15;151;15101;ARICA;3;0;$1.000 a $10.000;Gratuito;2;10;110;310;0;0;0;0;0;0
2013;46;9;JARDIN INFANTIL SAN ANDRES;15;151;15101;ARICA;3;0;Gratuito;Gratuito;2;10;0;0;0;0;0;0;0;0
2013;49;3;JARDIN INFANTIL PADRE LUIS GALLARDO;15;151;15101;ARICA;3;0;Gratuito;Gratuito;2;10;0;0;0;0;0;0;0;0
2013;50;7;COLEGIO ADVENTISTA DE ARICA;15;151;15101;ARICA;3;0;$1.000 a $10.000;$1.000 a $10.000;7;110;310;0;0;0;0;0;0;0
2013;51;5;ESCUELA PARTICULAR REPUBLICA DEL ECUADOR;15;151;15101;ARICA;3;1;Gratuito;Gratuito;1;110;0;0;0;0;0;0;0;0
2013;52;3;LICEO DOMINGO SANTA MARIA;15;151;15101;ARICA;3;0;$1.000 a $10.000;$1.000 a $10.000;1;10;110;214;310;410;510;810;0;0
2013;55;8;JARDIN INFANTIL MONTESSORI GARDEN;15;151;15101;ARICA;3;0;Gratuito;$1.000 a $10.000;1;10;0;0;0;0;0;0;0;0
2013;56;6;COLEGIO SAN MARCOS DE ARICA;15;151;15101;ARICA;3;0;Gratuito;$50.001 a $100.000;2;10;110;310;0;0;0;0;0;0
2013;58;2;JARDIN INFANTIL PETETE J.M. BORGOÃÂO;15;151;15101;ARICA;3;0;Gratuito;Gratuito;2;10;0;0;0;0;0;0;0;0
2013;59;0;COLEGIO SAN JORGE;15;151;15101;ARICA;4;0;MÃ¡s de $100.000;MÃ¡s de $100.000;2;10;110;310;0;0;0;0;0;0
2013;60;4;COLEGIO ALEMAN DE ARICA;15;151;15101;ARICA;3;0;Gratuito;$10.001 a $25.000;1;10;110;310;0;0;0;0;0;0
2013;66;3;JARDIN INFANTIL PLUTO;15;151;15101;ARICA;3;0;Gratuito;Gratuito;2;10;0;0;0;0;0;0;0;0
2013;67;1;ABRAHAM LINCOLN SCHOOL;15;151;15101;ARICA;3;0;Gratuito;$25.001 a $50.000;2;10;110;310;0;0;0;0;0;0
2013;69;8;JUNIOR COLLEGE;15;151;15101;ARICA;4;0;MÃ¡s de $100.000;MÃ¡s de $100.000;1;10;110;310;0;0;0;0;0;0
2013;70;1;ESCUELA VALLE DE ESQUINA;15;151;15102;CAMARONES;2;1;Gratuito;Gratuito;7;110;0;0;0;0;0;0;0;0
2013;72;8;LICEO  VALLE DE CODPA;15;151;15102;CAMARONES;2;1;Gratuito;Gratuito;1;110;710;0;0;0;0;0;0;0
2013;73;6;ESCUELA VALLE DE COBIJA;15;151;15102;CAMARONES;2;1;Gratuito;Gratuito;1;110;0;0;0;0;0;0;0;0
2013;74;4;ESCUELA VALLE DE CAMARONES;15;151;15102;CAMARONES;2;1;Gratuito;Gratuito;2;110;0;0;0;0;0;0;0;0
2013;75;2;ESCUELA VALLE DE GUANACAGUA;15;151;15102;CAMARONES;2;1;Gratuito;Gratuito;2;110;0;0;0;0;0;0;0;0
2013;76;0;ESCUELA VALLE DE CUYA;15;151;15102;CAMARONES;2;1;Gratuito;Gratuito;2;110;0;0;0;0;0;0;0;0
2013;78;7;LICEO GRANADEROS;15;152;15201;PUTRE;2;1;Gratuito;Gratuito;7;10;110;610;710;0;0;0;0;0
2013;79;5;ESCUELA EL MARQUEZ;15;152;15201;PUTRE;2;1;Gratuito;Gratuito;7;110;0;0;0;0;0;0;0;0
2013;81;7;ESCUELA PAYACHATAS;15;152;15201;PUTRE;2;1;Gratuito;Gratuito;7;110;0;0;0;0;0;0;0;0
2013;82;5;ESCUELA SAN FRANCISCO DE ASIS;15;152;15201;PUTRE;2;1;Gratuito;Gratuito;2;110;0;0;0;0;0;0;0;0
2013;83;3;ESCUELA COTA COTANI;15;152;15201;PUTRE;2;1;Gratuito;Gratuito;2;110;0;0;0;0;0;0;0;0
2013;84;1;ESCUELA LOS ALAMOS;15;152;15201;PUTRE;2;1;Gratuito;Gratuito;2;110;0;0;0;0;0;0;0;0
2013;86;8;ESCUELA SAN SANTIAGO DE BELEN;15;152;15201;PUTRE;2;1;Gratuito;Gratuito;2;110;0;0;0;0;0;0;0;0
2013;87;6;ESCUELA ANCOLACANE;15;152;15202;GENERAL LAGOS;2;1;Gratuito;Gratuito;2;110;0;0;0;0;0;0;0;0
2013;88;4;ESCUELA ALCERRECA;15;152;15202;GENERAL LAGOS;2;1;Gratuito;Gratuito;2;110;0;0;0;0;0;0;0;0
2013;89;2;ESCUELA HUMAPALCA;15;152;15202;GENERAL LAGOS;2;1;Gratuito;Gratuito;2;110;0;0;0;0;0;0;0;0
2013;90;6;ESCUELA INTERNADO VISVIRI;15;152;15202;GENERAL LAGOS;2;1;Gratuito;Gratuito;2;110;0;0;0;0;0;0;0;0
2013;91;4;ESCUELA COSAPILLA;15;152;15202;GENERAL LAGOS;2;1;Gratuito;Gratuito;2;110;0;0;0;0;0;0;0;0
2013;92;2;ESCUELA CHISLLUMA;15;152;15202;GENERAL LAGOS;2;1;Gratuito;Gratuito;2;110;0;0;0;0;0;0;0;0
2013;93;0;ESCUELA CHUJLLUTA;15;152;15202;GENERAL LAGOS;2;1;Gratuito;Gratuito;2;110;0;0;0;0;0;0;0;0
2013;94;9;ESCUELA GUACOYO;15;152;15202;GENERAL LAGOS;2;1;Gratuito;Gratuito;2;110;0;0;0;0;0;0;0;0
2013;95;7;ESCUELA COLPITAS;15;152;15202;GENERAL LAGOS;2;1;Gratuito;Gratuito;2;110;0;0;0;0;0;0;0;0
2013;97;3;INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY;1;11;1101;IQUIQUE;1;0;$1.000 a $10.000;Gratuito;1;410;463;0;0;0;0;0;0;0
2013;102;3;ESC.EDUC.ESPECIAL FLOR DEL INCA;1;11;1101;IQUIQUE;1;0;Gratuito;Gratuito;1;211;212;215;216;0;0;0;0;0
2013;103;1;ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA;1;11;1101;IQUIQUE;1;0;Gratuito;Gratuito;1;110;310;0;0;0;0;0;0;0
2013;105;8;CENTRO DE CAPACITACION LABORAL;1;11;1101;IQUIQUE;1;0;Gratuito;Gratuito;1;211;212;213;215;216;217;0;0;0
2013;106;6;INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL;1;11;1101;IQUIQUE;5;0;Gratuito;Gratuito;2;110;310;510;810;0;0;0;0;0
2013;107;4;LICEO LIBERT. GRAL.BERNARDO OÃÂ´HIGGINS;1;11;1101;IQUIQUE;1;0;$1.000 a $10.000;Gratuito;1;110;310;0;0;0;0;0;0;0
2013;108;2;LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN;1;11;1101;IQUIQUE;1;0;$1.000 a $10.000;Gratuito;2;510;610;0;0;0;0;0;0;0
2013;109;0;LICEO ELENA DUVAUCHELLE CABEZON;1;11;1101;IQUIQUE;1;0;$1.000 a $10.000;Gratuito;1;310;410;510;610;0;0;0;0;0
2013;110;4;LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.;1;11;1101;IQUIQUE;1;0;Gratuito;Gratuito;1;10;110;310;0;0;0;0;0;0
2013;111;2;ESCUELA GABRIELA MISTRAL;1;11;1101;IQUIQUE;1;0;Gratuito;Gratuito;1;10;110;0;0;0;0;0;0;0
2013;112;0;ESCUELA EDUARDO LLANOS;1;11;1101;IQUIQUE;1;0;Gratuito;Gratuito;1;10;110;0;0;0;0;0;0;0
2013;113;9;ESCUELA ALMIRANTE PATRICIO LYNCH;1;11;1101;IQUIQUE;1;0;Gratuito;Gratuito;1;10;110;0;0;0;0;0;0;0
2013;114;7;ESCUELA PLACIDO VILLARROEL;1;11;1101;IQUIQUE;1;0;Gratuito;Sin informaciÃ³n;7;10;110;0;0;0;0;0;0;0
2013;116;3;COLEGIO REPUBLICA DE CROACIA;1;11;1101;IQUIQUE;1;0;Gratuito;Gratuito;2;10;110;0;0;0;0;0;0;0
2013;117;1;ESCUELA PAULA JARAQUEMADA ALQUIZAR;1;11;1101;IQUIQUE;1;0;Gratuito;Gratuito;2;10;110;214;0;0;0;0;0;0
